Dates,AMZN US Equity,MSFT US Equity,CRM US Equity,NOW US Equity,WDAY US Equity,DOCU US Equity,GOOGL US Equity,ADBE US Equity,NFLX US Equity,700 HK Equity,NTES US Equity,HUBS US Equity,ABBN SW Equity,SIE GR Equity,HEXAB SS Equity,9984 JP Equity,SYK US Equity,ROP US Equity,ISRG US Equity,PYPL US Equity,ADYEN NA Equity,ANET US Equity,IBKR US Equity,SHL GY Equity,CNK US Equity,CGX CN Equity,7203 JP Equity,6758 JP Equity,7974 JP Equity,WPP LN Equity,OMC US Equity,SAP GY Equity,ORCL US Equity,NJOB SS Equity,WAGE US Equity,WMT US Equity,CVS US Equity,UBSGE SW Equity,DBK GY Equity,SAN SM Equity,ANZ AU Equity,JNPR US Equity,AEO US Equity,ANF US Equity,GPS US Equity,KSS US Equity,GPC US Equity,KR US Equity,COST US Equity,M US Equity,SPX Index,BBY US Equity,PAYX US Equity,CMCSA US Equity,TGT US Equity,AMC US Equity,CINE LN Equity
30-04-19,1926.5200,130.6000,165.3500,271.5100,205.6300,56.6700,1198.9600,289.2500,370.5400,49.4557,284.5300,184.4900,20.5851,119.9770,54.5844,103.5580,188.9100,359.7000,510.6300,112.7700,813.9055,312.2900,54.2400,42.6470,42.0500,19.1037,61.8839,46.7109,340.5628,12.4734,80.0300,128.5244,55.3300,0.0574,48.7900,102.8400,54.3800,13.4682,8.2658,5.0606,19.1787,27.7700,23.7800,29.8900,26.0800,71.1000,102.5400,25.7800,245.5300,23.5400,2945.8300,74.4100,84.3100,43.5300,77.4200,15.1600,4.1474
29-03-19,1780.7500,117.9400,158.3700,246.4900,192.8500,51.8400,1176.8900,266.4900,356.5600,45.9879,241.4500,166.2100,18.7908,107.7777,52.2325,97.0028,197.5200,341.9700,570.5800,103.8400,783.2258,314.4600,51.8800,41.6860,39.9900,18.2090,58.5628,41.9337,284.9147,10.5347,72.9900,115.5763,53.7100,0.0544,37.7600,97.5300,53.9300,14.2814,8.1465,4.6505,18.4735,26.4700,22.1700,27.4100,26.1800,68.7700,112.0300,24.6000,242.1400,24.0300,2834.4000,71.0600,80.2000,39.9800,80.2600,14.8500,3.8018
28-02-19,1639.8300,112.0300,163.6500,239.4400,197.9300,55.1500,1126.5500,262.5000,358.1000,42.7782,223.2200,168.3800,19.8145,109.4152,52.6453,92.3381,188.5100,323.6500,547.6100,98.0700,751.2120,285.2500,55.2300,40.5427,37.6300,19.5061,60.1545,47.9745,273.4214,10.9551,75.7000,107.2184,52.1300,0.0753,32.9000,98.9900,57.8300,14.2556,9.2889,4.8897,19.8772,27.0800,20.4000,21.9500,25.4000,67.5300,108.7800,29.3300,218.7400,24.7900,2784.4900,68.8400,77.0200,38.6700,72.6400,14.0300,3.7012
31-01-19,1718.7300,104.4300,151.9700,220.0200,181.5300,49.4500,1125.8900,247.8200,339.5000,44.0939,251.9300,158.3100,19.0733,109.9773,48.8053,78.3496,177.5700,283.2600,523.6400,88.7600,741.6165,214.7800,50.4000,39.4166,40.9200,21.5959,61.3398,50.2389,310.8804,11.4135,77.8800,103.3363,50.2300,0.0704,31.5500,95.8300,65.5500,14.3087,8.8692,4.7311,18.2018,25.9400,21.1200,21.6700,25.4400,68.6900,99.8200,28.3300,214.6300,26.3000,2704.1000,59.2400,70.8000,36.5700,73.0000,14.6500,3.4248
31-12-18,1501.9700,101.5700,136.9700,178.0500,159.6800,40.0800,1044.9600,226.2400,267.6600,40.0909,235.3700,125.7300,18.9874,111.4125,45.4987,66.1625,156.7500,266.5200,478.9200,84.0900,544.0273,210.7000,54.6500,41.8111,35.8000,18.6729,58.0201,48.2384,265.2387,10.7908,73.2400,99.4566,45.1500,0.0878,27.1600,93.1500,65.5200,14.4424,7.9709,4.5499,17.2272,26.9100,19.3300,20.0500,25.7600,66.3400,96.0200,27.5000,203.7100,29.7800,2506.8500,52.9600,65.1500,34.0500,66.0900,12.2800,3.3548
30-11-18,1690.1700,110.8900,142.7600,185.2700,164.0000,41.7600,1109.6500,250.8900,286.1300,39.8708,227.0700,139.0300,20.2343,115.9109,49.7749,83.8261,175.4600,297.5900,530.8700,85.8100,517.1521,238.4800,57.8500,43.2629,38.3700,19.4303,60.2341,52.2439,304.5583,11.0424,76.9700,102.8760,48.7600,0.0868,33.3300,97.6500,80.2000,14.2371,9.1233,4.7353,19.5560,28.7100,20.9300,20.9100,27.2900,67.1700,103.7100,29.6600,231.2800,34.2200,2760.1700,64.5900,70.7600,39.0100,70.9600,13.6500,3.5176
31-10-18,1598.0100,106.8100,137.2400,181.0400,133.0200,41.9400,1090.5800,245.7600,301.7800,34.0458,207.8500,135.6500,20.1149,115.0951,48.9273,80.0354,162.2200,282.9000,521.1800,84.1900,645.6857,230.3500,49.4100,41.3687,41.5700,27.5802,58.5139,54.3123,311.0128,11.3332,74.3200,107.0226,48.8400,0.0818,39.8100,100.2800,72.3900,13.9814,9.7808,4.7429,18.3377,29.2700,23.0600,19.7000,27.3000,75.7300,97.9200,29.7600,228.6300,34.2900,2711.7400,70.1600,65.4900,38.1400,83.6300,19.2600,3.7573
28-09-18,2003.0000,114.3700,159.0300,195.6300,145.9800,52.5700,1207.0800,269.9500,374.1300,41.2973,228.2500,150.9500,23.7529,127.8701,58.6745,101.0573,177.6800,296.2100,574.0000,87.8400,816.4642,265.8600,55.3100,43.9880,40.2000,27.0500,62.5110,61.3745,365.2863,14.6657,68.0200,123.1084,51.5600,0.0901,42.7500,93.9100,78.7200,16.1323,11.4142,5.0353,20.3882,29.9700,24.8300,21.1200,28.8500,74.5500,99.4000,29.1100,234.8800,34.7300,2913.9800,79.3600,73.6500,35.4100,88.2100,20.5000,4.1161
31-08-18,2012.7100,112.3300,152.6800,196.3600,154.5400,62.4400,1231.8000,263.5100,367.6800,43.3138,197.7100,143.7000,23.5543,129.5625,59.3616,92.7260,169.4300,298.3700,560.0000,92.3300,700.3380,298.9800,62.1600,45.4002,37.3200,25.1972,62.3875,57.1480,361.5412,16.5681,69.3200,120.1474,48.5800,0.0885,53.5000,95.8600,75.2400,15.9365,11.2495,4.9719,21.2017,28.4300,25.9600,21.6700,30.3500,79.1100,99.8500,31.5000,233.1300,36.5500,2901.5200,79.5600,73.2500,36.9900,87.5000,19.0500,4.0199
31-07-18,1777.4400,106.0800,137.1500,175.9600,124.0200,53.9000,1227.2200,244.6800,337.4500,45.2514,258.0000,124.1000,22.9487,141.1389,61.0199,82.8265,163.2500,301.9000,508.1900,82.1400,639.5612,255.7300,59.8600,44.5902,35.9200,22.4614,65.3399,52.1288,328.8014,15.6474,68.8300,116.8744,47.6800,0.1132,52.8000,89.2300,64.8600,15.6225,13.0956,5.6412,21.7904,26.3400,25.1800,23.6900,30.1700,73.8700,97.3100,29.0000,218.7100,39.7300,2816.2900,75.0300,69.0200,35.7800,80.6800,16.3000,3.5574
29-06-18,1699.8000,98.6100,136.4000,172.4700,121.1200,52.9500,1129.1900,243.8100,391.4300,50.1855,252.6700,125.4000,21.8851,131.6231,55.7951,71.9715,168.8600,275.9100,478.4800,83.2700,550.8625,257.4900,64.4100,41.2840,35.0800,22.1986,64.7229,51.1284,326.7738,15.7404,76.2700,115.5439,44.0600,0.0827,50.0000,85.6500,64.3500,15.5847,10.7685,5.3621,20.8807,27.4200,23.2500,24.4800,32.3900,72.9000,91.7900,28.4500,208.9800,37.4300,2718.3700,74.5800,68.3500,32.8100,76.1200,15.9000,3.5043
31-05-18,1629.6200,98.8400,129.3300,177.6100,130.9600,49.8100,1100.0000,249.2800,351.6000,50.8867,228.3200,121.2000,22.6386,130.3417,56.3095,71.4089,174.0200,275.7900,459.6700,82.0700,#N/A N/A,251.5600,72.7800,39.6872,33.7700,22.0824,63.6472,47.4526,413.8312,16.3836,72.0800,112.4384,46.7200,0.0992,47.4500,82.5400,63.3900,15.9963,10.6871,5.3687,20.5871,26.6400,22.2000,23.8500,27.9800,66.7500,90.7900,24.3300,198.2400,34.9100,2705.2700,68.2500,65.5800,31.1800,72.8900,14.8000,3.3897
30-04-18,1566.1300,93.5200,120.9900,166.1400,124.8400,38.6300,1018.5800,221.6000,312.4600,49.8141,257.0700,105.9000,23.4890,127.2541,58.0426,77.9265,169.4200,264.1900,440.7800,74.6100,#N/A N/A,264.5500,74.2000,39.0681,39.1700,23.3996,65.8264,49.5004,423.2285,17.1718,73.6600,111.8374,45.6700,0.1257,41.6500,88.4600,69.8300,16.9396,13.7540,6.5019,20.2562,24.5900,20.6800,25.6200,29.2400,62.1200,88.3200,25.1900,197.1600,31.0700,2648.0500,76.5300,60.5700,31.3900,72.6000,17.4500,3.5844
30-03-18,1447.3400,91.2700,116.3000,165.4500,127.1100,#N/A N/A,1037.1400,216.0800,295.3500,52.1837,280.3900,108.3000,23.7384,127.5068,59.3522,74.8447,160.9200,280.6900,412.8300,75.8700,#N/A N/A,255.3000,67.2400,41.0519,37.6700,24.2986,64.2534,48.4466,441.1599,15.8743,72.6700,104.4366,45.7500,0.1185,45.2000,88.9700,62.2100,17.3232,13.9208,6.5081,20.6151,24.3300,19.9300,24.2100,31.2000,65.5100,89.8400,23.9400,188.4300,29.7400,2640.8700,69.9900,61.5900,34.1700,69.4300,14.0500,3.3052
